id,uri,title,published,isbn,author
GB99X8194,http://bnb.data.bl.uk/id/resource/008389981,The vault,1999,0753160684,Peter Lovesey
GB7932143,http://bnb.data.bl.uk/id/resource/007437385,Walking in Bath,1978,0906230004,Charles Greenwood
GB8625204,http://bnb.data.bl.uk/id/resource/009450762,City of Bath,1973,0853720886,R. W. M. Wright
GB8317047,http://bnb.data.bl.uk/id/resource/012688461,The Theatre Royal at Bath : the eventful story of a Georgian playhouse,1982,0905459490,William Lowndes
GBA898781,http://bnb.data.bl.uk/id/resource/014691724,Lady Sabrina's secret,2009,0709086571,Jeannie Machin
GB9010327,http://bnb.data.bl.uk/id/resource/008807800,The city of Bath,1990,0948661143,Colin Baxter
GBA633824,http://bnb.data.bl.uk/id/resource/013431641,Absolute honour,2006,0752871900,C. C. Humphreys
GBB1D7156,http://bnb.data.bl.uk/id/resource/015978967,This is Paradise,2012,1447216210,Will Eaves
GB8301475,http://bnb.data.bl.uk/id/resource/012647507,Portrait of Bath,1982,0709198833,John Haddon
GB7428105,http://bnb.data.bl.uk/id/resource/012254470,"Electricity in Bath, 1890-1974",1974,0904587002,William Edward Eyles
GBB272412,http://bnb.data.bl.uk/id/resource/016131015,"Water, history and style : Bath World Heritage Site",2012,0752488147,Cathryn Spence
GB9827207,http://bnb.data.bl.uk/id/resource/006748127,The new Bath guide,1994,1874092117,Christopher Anstey
GB7528876,http://bnb.data.bl.uk/id/resource/008041546,Bath and its surroundings,1975,0239001478,Neil Gibson
GB8727124,http://bnb.data.bl.uk/id/resource/010077907,"Tales from the pump room : nine hundred years of Bath : the place, its people and its gossip",1988,0575041935,Thomas Hinde
GBB0B7262,http://bnb.data.bl.uk/id/resource/015660194,Bath,2011,1848484666,Carole French
GBB086556,http://bnb.data.bl.uk/id/resource/015606115,Ralph Allen : builder of Bath,2010,0955954169,Diana Winsor
GBA533997,http://bnb.data.bl.uk/id/resource/013180608,Headcase,2005,1845291131,Peter Helton
GB9851159,http://bnb.data.bl.uk/id/resource/011018373,The killing of Sally Keemer : the new bath detective mystery,1998,0575602058,Christopher Lee
GBB322035,http://bnb.data.bl.uk/id/resource/016244577,"Diseased, douched and doctored : thermal springs, spa doctors and rheumatic diseases",2012,1907994092,Roger Rolls
GB9612268,http://bnb.data.bl.uk/id/resource/012607781,Discovering Bath,1995,0199166986,Sue Thomas
GB8901817,http://bnb.data.bl.uk/id/resource/009450863,City of Bath : the Roman city of aquae sulis,1988,0853724385,Jane Wilton-Smith
GBA257682,http://bnb.data.bl.uk/id/resource/008809961,"The last promenade : Sydney Gardens, Bath",2000,0948975598,Brenda Snaddon
GB8336384,http://bnb.data.bl.uk/id/resource/012688462,Bath,1983,0905459520,Edith Sitwell
GB8958769,http://bnb.data.bl.uk/id/resource/008809927,A charming place : Bath in the life and times of Jane Austen,1988,0948975148,Maggie Lane
GBB1B8443,http://bnb.data.bl.uk/id/resource/015946994,A walk in the park,2012,0755355830,Jill Mansell
GBB258635,http://bnb.data.bl.uk/id/resource/016105231,Emerald flame,1997,0745154514,Virginia Coffman
GBA557949,http://bnb.data.bl.uk/id/resource/013244695,"Bristol & Bath, Somerset and Gloucestershire",2005,1853068969,Nigel Vile
GBB1C8429,http://bnb.data.bl.uk/id/resource/015964324,Avon Street,2012,0752465546,Paul Emanuelli
GB9325771,http://bnb.data.bl.uk/id/resource/007443621,Bath,1993,0907115594,Paul Newman
GBA806455,http://bnb.data.bl.uk/id/resource/014493384,The mantua-maker's beau,2007,0786298820,Anne Holman
GB8502633,http://bnb.data.bl.uk/id/resource/011392867,Exploring Bath,1984,0850260027,Keith Dallimore
GB9908105,http://bnb.data.bl.uk/id/resource/009488190,Mr Bowler of Bath : Victorian entrepreneur and engineer,1998,0953420108,Ken Andrews
